Incident #,Time,Date Occurred,Description,Location,Disposition,Day Occurred,Month Occurred,Year Occurred
19-17952,1449,11/22/19,Theft,Caesar Rodney Dining Hall,Pending,22,11,2019
19-17960,1754,11/22/19,DUI,General Services Parking Lot,Arrest,22,11,2019
19-17966,2009,11/22/19,Possession of Marijuana,Harrington Hall B,Administrative Sanction,22,11,2019
19-17970,2053,11/22/19,Receiving Stolen Property,George Read Hall,Administrative Sanction,22,11,2019
19-17974,2053,11/22/19,Receiving Stolen Property,George Read Hall,Administrative Sanction,22,11,2019
19-18079,0839,11/23/19,Theft,Smith Hall,Pending,23,11,2019
19-18224,1903,12/1/19,Graffiti,Russell A,Pending,1,12,2019
19-18243,0924,12/2/19,Trespass,University Courtyard Apartments,Exceptionally Clear,2,12,2019
19-18262,1640,12/2/19,Disorderly Conduct,Barnes & Noble Bookstore,Administrative Sanction,2,12,2019
19-18300,0229,12/3/19,Underage Consumption,Independence Hall West,Administrative Sanction,3,12,2019
19-18425,0055,12/5/19,Underage Consumption,Harrington Hall D,Administrative Sanction,5,12,2019
19-18435,0754,12/5/19,Theft,Gilbert Hall,Pending,5,12,2019
19-18448,1226,12/5/19,Theft,Lane Hall,Pending,5,12,2019
19-18451,1334,11/8/19,Harassment,E Main St,Exceptionally Clear,8,11,2019
19-18452,1350,12/4/19,Theft,Russell A,Pending,4,12,2019
19-18460,1644,12/3/19,Theft,University Courtyard Apartments,Pending,3,12,2019
19-18475,2332,12/5/19,Underage Consumption,South Academy Residence Hall,Administrative Sanction,5,12,2019
19-18479,0051,12/6/19,Disorderly Conduct,Lot #19,Administrative Sanction,6,12,2019
19-18484,0235,12/6/19,Underage Consumption,Louis Redding Hall,Administrative Sanction,6,12,2019
19-18485,0241,12/6/19,Underage Consumption,Russell C,Exceptionally Clear,6,12,2019
19-18492,0942,12/6/19,Underage Consumption,Brown Lab,Administrative Sanction,6,12,2019
19-18514,1337,12/6/19,Motor Vehicle Collision (Hit & Run),The College School,Pending,6,12,2019
19-18559,0121,12/7/19,Underage Consumption,Russell C,Administrative Sanction,7,12,2019
19-18562,0144,12/7/19,Underage Consumption,Louis Redding Hall,Administrative Sanction,7,12,2019
19-18589,1731,12/7/19,Shoplifting,Barnes & Noble Bookstore,Pending,7,12,2019
19-18617,2329,12/7/19,Underage Consumption,Gilbert Hall,Administrative Sanction,7,12,2019
19-18631,0115,12/8/19,Underage Consumption,Russell E,Administrative Sanction,8,12,2019
19-18641,0205,12/8/19,Loud Party,University Courtyard Apartments,Administrative Sanction,8,12,2019
19-18642,0334,12/8/19,Damaged Property,Thompson Hall,Pending,8,12,2019
19-18673,2121,12/8/19,Disorderly Conduct,Deer Park Tavern,Arrest,8,12,2019
19-18694,0937,12/6/19,Damaged Property,Perkins Student Center,Pending,6,12,2019
19-18727,0049,12/9/19,Theft,Caesar Rodney Dining Hall,Pending,9,12,2019
19-18765,1928,12/10/19,Theft,South Academy Residence Hall,Pending,10,12,2019
19-18777,0012,12/11/19,Graffiti,Gilbert Hall,Pending,11,12,2019
19-18800,1000,12/11/19,Sexual Harrasment,University Courtyard Apartments,Pending,11,12,2019
19-18871,1411,12/10/19,Motor Vehicle Collision (Hit & Run),Delaware Field House,Pending,10,12,2019
19-18901,0142,12/13/19,Theft,South Academy Residence Hall,Pending,13,12,2019
19-18978,2247,12/14/19,Theft,South Academy Residence Hall,Administrative Sanction,14,12,2019
19-18977,2249,12/14/19,Graffiti,Russell A,Pending,14,12,2019
19-18980,2342,12/14/19,Reckless Burning,South Academy Residence Hall,Pending,14,12,2019
19-19002,2137,12/13/19,Motor Vehicle Collision (Hit & Run),Honors Program,Pending,13,12,2019
19-19105,1452,9/17/19,Theft,STAR Campus,Pending,17,9,2019
19-19153,1242,12/17/19,Motor Vehicle Collision (Hit & Run),Perkins Parking Garage,Pending,17,12,2019
19-19190,1447,12/19/19,Possession of Marijuana,Studio Arts Building,Civil Assessment,19,12,2019
19-19219,1031,12/11/19,Theft,Ocean Engineering Building,Pending,11,12,2019
19-19225,1435,12/20/19,Possession of a Fictitious License,UDPD,Administrative Sanction,20,12,2019
19-19227,1639,12/16/19,Theft,PNC Bank,Pending,16,12,2019
19-19621,1103,12/31/19,Trespass,Evans Hall,Arrest,31,12,2019
20-00001,0129,1/1/20,Robbery,Elliot Hall,Pending,1,1,2020
20-00026,0713,12/23/19,Damaged Property,Trabant University Center,Pending,23,12,2019
20-00051,0342,1/3/20,Motor Vehicle Collision (Hit & Run),Trabant University Center,Pending,3,1,2020
20-00212,0808,1/6/20,Motor Vehicle Collision (Hit & Run),CFA Parking Garage,Pending,6,1,2020
20-00318,1039,1/9/20,Attempted Extortion,Pearson Hall,Pending,9,1,2020
20-00376,0529,1/9/20,Trespass,Allison Hall,Arrest,9,1,2020
20-00377,0605,1/10/20,Damaged Property,Gore Hall,Pending,10,1,2020
20-00386,0904,1/10/20,Trespass,University Courtyard Apartments,Civil Assessment,10,1,2020
20-00445,2040,1/11/20,Theft,Gold Ice Arena,Pending,11,1,2020
20-00463,1433,1/12/20,Possession of Marijuana,University Courtyard Apartments,Civil Assessment,12,1,2020
20-00493,0906,12/2/19,Theft,Trabant University Center,Administrative Sanction,2,12,2019
20-00539,2307,1/13/20,Possession of Marijuana,Ray Street Hall C,Civil Assessment,13,1,2020
20-00591,0115,1/15/20,DUI,E Delaware Ave/S Chapel St,Arrest,15,1,2020
20-00616,1550,1/15/20,Possession of Marijuana,University Courtyard Apartments,Administrative Sanction,15,1,2020
20-00617,1615,1/15/20,Possession of Marijuana,Ray Street Hall C,Civil Assessmenti,15,1,2020
20-00663,1710,1/16/20,Disorderly Conduct,Student Services Building,Pending,16,1,2020
20-00675,0051,1/17/20,Underage Consumption,Russell E,Administrative Sanction,17,1,2020
20-00681,0207,1/17/20,Trespass,Sunset Road,Administrative Sanction,17,1,2020
20-00699,1444,1/17/20,Possession of a Controlled Substance/ Drug Paraphernalia,University Courtyard Apartments,Civil Assessment,17,1,2020
20-00917,0710,1/22/20,Damaged Property,Hugh Morris Library,Pending,22,1,2020
20-00949,1316,1/21/20,Harassment,Ewing Hall,Pending,21,1,2020
20-00999,0616,1/20/20,Graffiti,Hugh Morris Library,Pending,20,1,2020
20-01098,0104,1/25/20,Disorderly Conduct,S Main St,Administrative Sanction,25,1,2020
20-01129,2301,1/25/20,Trespass,Thomas McKean Hall,Administrative Sanction,25,1,2020
20-01133,0051,1/26/20,Alcohol Violation,University Courtyard Apartments,Administrative Sanction,26,1,2020
20-01153,1918,1/23/20,Harassment,South Academy Residence Hall,Exceptionally Clear,23,1,2020
20-01201,1236,1/27/20,Trespass,Barnes & Noble Bookstore,Arrest,27,1,2020
20-01243,0009,1/28/20,Possession of Marijuana,Haines St/E Delaware Ave,Civil Assessment,28,1,2020
20-01299,2130,1/28/20,Carrying Concealed Deadly Weapon/Endangering the Welfare/Possession of a Firearm,Hillside Rd/W Main St,Arrest,28,1,2020
20-001325,0822,1/29/20,Attempted Extortion,Kent Hall,Pending,29,1,2020
20-001351,1933,1/28/20,Theft,Carpenter Sport Building,Pending,28,1,2020
20-01406,0556,1/30/20,Damaged Property,Gore Hall,Pending,30,1,2020
20-01614,1232,11/22/19,Offensive Touching,Purnell Hall,Pending,22,11,2019
20-01661,1100,2/3/20,Graffiti,Hugh Morris Library,Pending,3,2,2020
20-01703,1123,2/4/20,Sexual Harrasment,James Smith Hall,Arrest,4,2,2020
20-01704,1121,1/27/20,Theft,The College School,Pending,27,1,2020
20-01709,1352,2/5/20,Motor Vehicle Collision (Hit & Run),Hugh Morris Library,Pending,5,2,2020
20-01756,0844,2/5/20,Graffiti,Hugh Morris Library,Arrest;,5,2,2020
20-01762,1027,2/3/20,Motor Vehicle Collision (Hit & Run),University Courtyard Apartments,Pending,3,2,2020
20-01784,1609,2/6/20,Burglary,Lot #55,Arrest,6,2,2020
20-01822,0433,2/7/20,DUI,N Chapel St/E Main St,Arrest,7,2,2020
20-01846,1324,2/5/20,Graffiti,Carpenter Sport Building,Pending,5,2,2020
20-01848,1414,2/5/20,Graffiti,Carpenter Sport Building,Pending,5,2,2020
20-01916,0052,2/9/20,Public Intoxication,Caesar Rodney A,Administrative Sanction,9,2,2020
20-01922,0249,2/9/20,Underage Consumption,University Courtyard Apartments,Administrative Sanction,9,2,2020
20-01944,1806,12/14/19,Theft,George Read Hall,Pending,14,12,2019
20-01948,1957,12/18/19,Theft,George Read Hall,Pending,18,12,2019
20-01964,0006,2/10/20,Underage Consumption,Gilbert Hall,Adminstratrive Sanction,10,2,2020
20-01979,0823,2/10/20,Theft,South Academy Residence Hall,Pending,10,2,2020
20-02018,1152,2/5/20,Theft,Delaware Field House,Pending,5,2,2020
20-02118,1647,2/10/20,Trespass,South Academy Residence Hall,Pending,10,2,2020
20-02133,2125,2/11/20,Motor Vehicle Collision (Hit & Run),Trabant University Center,Pending,11,2,2020
20-02139,0033,2/12/20,Underage Consumption,George Read Hall,Administrative Sanction,12,2,2020
20-02140,0125,2/12/20,Underage Consumption,Russell B,Arrest,12,2,2020
20-02158,1042,2/12/20,Trespass,Trabant University Center,Arrest,12,2,2020
20-02195,2235,2/12/20,Underage Consumption,Lane Hall,Adminstrative Sanction,12,2,2020
20-02202,0954,2/13/20,Damaged Property,Trabant University Center,Pending,13,2,2020
20-02225,1259,2/13/20,Motor Vehicle Collision (Hit & Run),Trabant University Center,Pending,13,2,2020
20-02251,1804,2/13/20,Graffiti,Sharp Lab,Pending,13,2,2020
20-02372,0005,2/15/20,Shoplifting,Harrington Commons,Unfounded,15,2,2020
20-02405,1643,2/10/20,Graffiti,Sypherd Hall,Pending,10,2,2020
20-02425,2223,2/15/20,Disorderly Conduct,Delaware Field House,Exceptionally Clear,15,2,2020
20-02439,0236,2/16/20,Underage Consumption,George Read Hall,Administrative Sanction,16,2,2020
20-02495,0147,2/17/20,Graffiti,Trabant University Center,Pending,17,2,2020
20-02541,1518,2/17/20,Theft,Independence Hall,Pending,17,2,2020
20-02586,0946,2/18/20,Trespass,Allen Lab,Exceptionally Clear,18,2,2020
20-02596,1201,2/18/20,Fraud,Willard Hall,Pending,18,2,2020
20-02634,0056,2/19/20,Underage Consumption,George Read Hall,Administrative Sanction,19,2,2020
20-02638,0129,2/19/20,Underage Consumption,Lot #19,Arrest,19,2,2020
20-02660,1051,1/9/20,Harassment,Barnes & Noble Bookstore,Exceptionally Clear,9,1,2020
20-02712,0859,2/17/20,Theft,DuPont Lab,Pending,17,2,2020
20-02760,2214,2/20/20,Offensive Touching,James Smith Hall,Exceptionally Clear,20,2,2020
20-02766,0119,2/21/20,Underage Consumption,Brown Lab,Administrative Sanction,21,2,2020
20-02808,1622,2/21/20,Disorderly Conduct,Alumni Hall,Exceptionally Clear,21,2,2020
20-02818,1919,2/21/20,Possession of Marijuana,Brown Lab,Civil Assessment,21,2,2020
20-02833,0027,2/22/20,Possession of Marijuana,Harrington Hall E,Civil Assessment,22,2,2020
20-02834,0116,2/22/20,Underage Consumption,South Academy Residence Hall,Administrative Sanction,22,2,2020
20-02881,1817,2/22/20,Possession of Marijuana,Caesar Rodney C,Administrative Sanction,22,2,2020
20-02919,2037,2/23/20,Possession of Marijuana,Delaware Ave/S College Ave,Civil Assessment,23,2,2020
20-02920,2233,2/23/20,Theft,Hugh Morris Library,Pending,23,2,2020
20-02976,0114,2/25/20,Underage Consumption,Smyth Hall,Administrative Sanction,25,2,2020
20-03010,1059,2/24/20,Theft,Gilbert Hall,Pending,24,2,2020
20-03012,1117,2/24/20,Theft,Gilbert Hall,Pending,24,2,2020
20-03039,2155,2/25/20,Theft,Trabant University Center,Pending,25,2,2020
20-03046,2306,2/25/20,Disorderly Conduct,University Courtyard Apartments,Prosecution Declined,25,2,2020
20-03085,1413,2/24/20,Theft,University Courtyard Apartments,Pending,24,2,2020
20-03089,1500,2/26/20,Harassment,Academy St,Exceptionally Clear,26,2,2020
20-03092,1618,2/25/20,Theft,University Courtyard Apartments,Pending,25,2,2020
20-03115,0010,2/26/20,Theft,Trabant University Center,Pending,26,2,2020
20-03177,2026,2/27/20,Possession of Marijuana,E Cleveland Ave/Wilbur St,Arrest,27,2,2020
20-03185,0027,2/28/20,Possession of Marijuana,South Academy Residence Hall,Administrative Sanction,28,2,2020
20-03188,0149,2/28/20,Offensive Touching,University Courtyard Apartments,Arrest,28,2,2020
20-03212,1320,2/28/20,Trespass,Recitation Hall Annex,Pending,28,2,2020
20-03219,1501,2/28/20,Motor Vehicle Collision (Hit & Run),Goodstay Center,Pending,28,2,2020
20-03222,1538,2/23/20,Theft,Lot #55,Pending,23,2,2020
20-03226,1611,2/27/20,Theft,Russell Dining Hall,Pending,27,2,2020
20-03253,2224,2/28/20,Underage Consumption,Independence Hall,Administrative Sanction,28,2,2020
20-03351,0045,2/29/20,Damaged Property,CFA Parking Garage,Pending,29,2,2020
20-03396,2148,3/1/20,Underage Consumption,E Delaware Ave/The Green,Civil Assessment,1,3,2020
20-03427,0946,2/28/20,Damaged Property,Drake Hall,Pending,28,2,2020
20-03451,2059,2/27/20,Damaged Property,Evans Hall,Pending,27,2,2020
20-03453,2130,3/2/20,Possession of Marijuana,Ray Street Hall C,Civil Assessment,2,3,2020
20-03476,1110,3/3/20,Trespass,Chemours,Exceptionally Clear,3,3,2020
20-03479,1242,2/20/20,Motor Vehicle Collision (Hit & Run),Caesar Rodney Dining Hall,Pending,20,2,2020
20-03486,1820,2/27/20,Theft,Brown Lab,Pending,27,2,2020
20-03528,1304,3/4/20,Terroristic Threatening,University Courtyard Apartments,Pending,4,3,2020
20-03537,1917,3/2/20,Theft,James Smith Hall,Pending,2,3,2020
20-03595,1332,3/5/20,Harassment,Bob Carpenter Center,Exceptionally Clear,5,3,2020
20-03602,1711,3/4/20,Theft,Roselle Center for the Arts,Pending,4,3,2020
20-03606,1844,3/4/20,Damaged Property,South Academy Residence Hall,Administrative Sanction,4,3,2020
20-03617,2119,3/5/20,Trespass,Lane Hall,Administrative Sanction,5,3,2020
20-03635,0152,3/6/20,DUI,S Chapel St/E Park Pl,Arrest,6,3,2020
20-03694,0105,3/7/20,Underage Consumption,Lot #19,Administrative Sanction,7,3,2020
20-03700,0340,3/7/20,Underage Consumption,Louis Redding Hall,Administrative Sanction,7,3,2020
20-03716,1340,3/7/20,Trespass,Brown Lab,Exceptionally Clear,7,3,2020
20-03725,1836,3/7/20,Damaged Property,Hugh Morris Library,Pending,7,3,2020
20-03737,2255,3/7/20,Disorderly Conduct,University Courtyard Apartments,Exceptionally Clear,7,3,2020
20-03738,2345,3/7/20,Underage Consumption,Harrington Hall E,Administrative Sanction,7,3,2020
20-03751,0508,3/8/20,Underage Consumption,George Read Hall,Exceptionally Clear,8,3,2020
20-03895,1704,3/7/20,Harassment,Independence Hall West,Exceptionally Clear,7,3,2020
20-03906,2243,3/10/20,Trespass,Russell A,Exceptionally Clear,10,3,2020
20-03929,1257,3/11/20,Harassment,UD Downtown Center,Pending,11,3,2020
20-03938,1941,3/7/20,Graffiti,Smyth Hall,Pending,7,3,2020
20-03962,0219,3/12/20,Terroristic Threatening,Independence Hall West,Exceptionally Clear,12,3,2020
20-03963,0243,3/12/20,Underage Consumption,University Courtyard Apartments,Administrative Sanctions,12,3,2020
20-03964,0252,3/12/20,Underage Consumption,Louis Redding Hall,Administrative Sanctions,12,3,2020
20-03982,1031,3/12/20,Disorderly Conduct,Barnes & Noble Bookstore,Arrest,12,3,2020
0-004013,2335,3/12/20,Assist Other Agency,Grottos Pizza,Administrative Sanctions,12,3,2020
20-04018,0103,3/13/20,Public Intoxication,Taverna,Administrative Sanction,13,3,2020
20-04097,1227,3/10/20,Theft,Russell C,Pending,10,3,2020
20-04102,1330,3/14/20,Public Intoxication,Choate St,Administrative Sanction,14,3,2020
20-04140,0331,3/15/20,Trespass,General Services Building,Arrest,15,3,2020
20-04181,1528,3/15/20,Damaged Property,George Read Hall,Pending,15,3,2020
20-04190,1841,3/15/20,Disorderly Conduct,STAR Campus,Administrative Sanction,15,3,2020
20-04192,1954,3/15/20,Possession of Marijuana,George Read Hall,Civil Assessment,15,3,2020
20-04199,2144,3/15/20,Damaged Property,George Read Hall,Pending,15,3,2020
20-04545,1841,3/20/20,Offensive Touching,Westfield Dr,Exceptionally Clear,20,3,2020
20-04493,1144,3/1/20,Rape,George Read Hall,Pending,1,3,2020
20-04713,2339,3/27/20,Possession of Marijuana,BPI Building,Civil Assessment,27,3,2020
20-04906,0808,4/2/20,Public Intoxication,NPD,Administrative Sanction,2,4,2020
20-05206,0419,4/11/20,Underage Consumption,Chimney Ridge Dr,Administrative Sanction,11,4,2020
20-05343,2016,4/13/20,Trespass,Frazer Field,Exceptionally Clear,13,4,2020
20-05367,1118,4/14/20,Possession of Marijuana,George Read Hall,Administrative Sanction,14,4,2020
20-05382,1853,4/14/20,Drug Dealing,George Read Hall,Arrest,14,4,2020
20-05506,1542,4/17/20,Graffiti,Trabant University Center,Pending,17,4,2020
20-05867,0205,4/27/20,Alcohol Violation,Benny St,Administrative Sanction,27,4,2020
20-05954,0847,4/29/20,Damaged Property,Life Sciences Research Facility,Pending,29,4,2020
20-05998,1929,5/2/20,Possession of a Fictitious License,Gilbert Hall,Adminstrative Sanction,2,5,2020
20-06005,2349,5/2/20,Underage Consumption,S College Ave/Amstel Ave,Adminstrative Sanction,2,5,2020
20-06010,0149,5/2/20,Damaged Property,Lot #37C,Pending,2,5,2020
20-06022,1421,4/27/20,Graffiti,Gore Hall,Pending,27,4,2020
20-06024,1902,5/2/20,Assist Other Agency,E Park Pl,Adminstrative Sanction,2,5,2020
20-06132,1736,5/5/20,Terroristic Threatening,Corbit St,Administrative Sanction,5,5,2020
20-06134,1923,5/3/20,Extortion,James Smith Hall,Pending,3,5,2020
20-06202,1013,5/8/20,Shooting,Delaware Veterans Cemetery,Service Clear,8,5,2020
20-06204,1437,5/11/20,Rape,Louis Redding Hall,Pending,11,5,2020
20-06250,2258,5/9/20,Fugitive,Madison Dr/Lincoln Dr,Arrest,9,5,2020
20-06267,1448,5/10/20,Damaged Property,Innovation Way,Pending,10,5,2020
20-06349,1145,5/13/20,Copyright Infringment (UD Trademarks),UDPD,Exceptionally Clear,13,5,2020
20-06361,1839,5/13/20,Assist Other Agency,Choate St,Administrative Sanction,13,5,2020
20-06385,1501,5/14/20,Possession of Marijuana,George Read Hall,Civil Assessment,14,5,2020
20-06464,1423,5/17/20,Trespass,George Read Hall,Arrest,17,5,2020
20-06490,1319,5/18/20,Terroristic Threatening,Allen Lab,Pending,18,5,2020
20-06557,2054,5/19/20,Extortion,Innternationale House,Pending,19,5,2020
20-06616,1303,5/21/20,Offensive Touching,Bing's Bakery,Administrative Sanction,21,5,2020
20-06654,1748,5/22/20,Graffiti,Christiana Towers,Pending,22,5,2020
20-06670,2328,5/22/20,Lewdness,Hugh Morris Library,Administrative Sanction,22,5,2020
20-06710,2359,5/22/20,Damaged Property,Christiana Towers,Pending,22,5,2020
20-06722,0951,3/20/20,Theft,James Smith Hall,Pending,20,3,2020
20-06749,0321,5/25/20,Harassment,James Smith Hall,Administrative Sanction,25,5,2020
20-06756,1252,5/25/20,Theft,Carpenter Sport Building,Pending,25,5,2020
20-06795,0956,5/23/20,Trespass,Frazer Field,Pending,23,5,2020
20-06910,2053,5/24/20,Damaged Property,Christiana Towers,Pending,24,5,2020
20-06940,0104,5/31/20,Shooting,Capitol Trl/E Cleveland Ave,Service Clear,31,5,2020
20-06941,0146,5/31/20,Assist Other Agency,Compassionate Care Research Institute,Service Clear,31,5,2020
20-06989,1305,5/25/20,Theft,Perkins Student Center,Pending,25,5,2020
20-07103,0744,6/4/20,Trespass,University Courtyard Apartments,Adminstrative Sanctions,4,6,2020
20-07149,0905,6/3/20,Harassment,Academy Building,Pending,3,6,2020
20-07211,1139,6/6/20,DUI,Perkins Parking Garage,Arrest,6,6,2020
20-07243,0147,6/7/20,Receiving Stolen Property,E Main St,Administrative Sanction,7,6,2020
20-07334,0527,6/9/20,Assist Other Agency,Cambridge Dr/New London Rd,Service Clear,9,6,2020
20-07396,1209,3/16/20,Theft,Pearson Hall,Pending,16,3,2020
20-07613,1035,6/8/20,Theft,Smith Hall,Pending,8,6,2020
20-07636,2115,6/15/20,Terroristic Threatening,Innternationale House,Pending,15,6,2020
20-07678,1424,6/17/20,Trespass,Thomas McKean Hall,Administrative Sanction,17,6,2020
20-07708,1144,6/12/20,Trespass,Brown Lab,Administrative Sanction,12,6,2020
20-07846,1956,6/21/20,Damaged Property,Lot #50,Pending,21,6,2020
20-08062,0716,6/28/20,Trespass,Academy Building,Exceptionally Clear,28,6,2020
20-08271,0015,7/5/20,Traffic Violation/Fugitve,David Hollowell Dr/ New London Rd,Arrest,5,7,2020
20-08353,1319,7/7/20,Trespass,University Courtyard Apartments,Exceptionally Clear,7,7,2020
20-08434,2256,7/9/20,Loitering,Delaware Field House,Exceptionallty Clear,9,7,2020
20-08505,1223,9/1/18,Rape,Gilbert Hall,Pending,1,9,2018
20-08625,1457,2/22/20,Theft,Fred Rust Ice Arena,Exceptionally Clear,22,2,2020
20-08796,0954,7/18/20,Damaged Property,University Courtyard Apartments,Pending,18,7,2020
20-08864,2254,2/17/20,Harassment,Thomas McKean Hall,Pending,17,2,2020
20-08869,0205,7/24/20,DUI,Barksdale Rd/Apple Rd,Arrest,24,7,2020
20-08943,2031,7/26/20,DUI,Farm Ln,Arrest,26,7,2020
20-09076,1611,7/30/20,Theft,Bob Carpenter Center,Pending,30,7,2020
20-9100,0959,7/31/20,Motor Vehicle Collision (Hit & Run),Arsht Hall,Pending,31,7,2020
20-09402,0910,8/10/20,Harassment,Lot #53,Exceptionally Clear,10,8,2020
20-09547,0957,8/14/20,Disorderly Conduct,James Smith Hall,Exceptionally Clear,14,8,2020
20-09550,1221,8/14/20,Disorderly Conduct,University Courtyard Apartments,Pending,14,8,2020
20-09588,0919,8/15/20,Lewdness,The College School,Arrest,15,8,2020
20-09719,1223,8/19/20,Motor Vehicle Collision (Hit & Run),Penny Hall,Pending,19,8,2020
20-09833,1742,8/21/20,Theft,Alumni Hall,Pending,21,8,2020
20-09899,1148,8/4/20,Theft,Goodstay Center,Pending,4,8,2020
20-09961,0839,8/25/20,Offensive Touching,Independence Hall East,Exceptionally Clear,25,8,2020
20-10072,1011,8/22/20,Shoplifting,Barnes & Noble Bookstore,Pending,22,8,2020
20-10097,2341,8/27/20,Public Intoxication,Choate St,Administrative Sanction,27,8,2020
20-10102,0148,8/28/20,Public Intoxication,East Cleveland Ave,Administrative Sanction,28,8,2020
20-10140,1530,8/28/20,Trespass,Student Services Building,Arrest,28,8,2020
20-10175,0353,8/29/20,DUI,East Delaware Ave/S Chapel St,Arrest,29,8,2020
20-10236,2247,8/29/20,Underage Consumption,University Courtyard Apartments,Administrative Sanction,29,8,2020
20-10250,0414,8/30/20,DUI,East Delaware Ave/Tyre Ave,Arrest,30,8,2020
20-10385,1258,9/1/20,Receiving Stolen Property,New London Rd/Corbit St,Administrative Sanction,1,9,2020
20-10451,1211,8/29/20,Theft,Ray Street,Pending,29,8,2020
20-10561,2201,9/4/20,Public Intoxication,E Main St,Administrative Sanction,4,9,2020
20-10563,2217,9/4/20,Public Intoxication,N College Ave,Adminsttrative Sanction,4,9,2020
20-10568,2307,9/4/20,Public Intoxication,Wilbur St,Adminstrative Sanction,4,9,2020
20-10567,2300,9/4/20,Public Intoxication,Kershaw St,Adminstrative Sanction,4,9,2020
20-10571,2334,9/4/20,Public Intoxication,Woolen Way,Administrative Sanction,4,9,2020
20-10579,0009,9/5/20,Public Intoxication,E Main St,Adminstrative Sanction,5,9,2020
20-10584,0111,9/5/20,Public Intoxication,Continental Ave,Administrative Sanction,5,9,2020
20-10597,1116,9/5/20,Shoplifting,Barnes & Noble Bookstore,Pending,5,9,2020
20-10636,0039,9/5/20,Theft,Lot #36,Pending,5,9,2020
20-10642,0143,9/6/20,Public Intoxication,Woolen Way,Administrative Sanction,6,9,2020
20-10697,1638,9/7/20,Harassment,UDPD,Pending,7,9,2020
20-10743,1427,9/8/20,Offensive Touching,University Courtyard Apartments,Arrest,8,9,2020
20-10902,2322,9/11/20,Public Intoxication,Haines St,Administrative Sanction,11,9,2020
20-10904,2341,9/11/20,DUI,E Delaware Ave/ Scholar Dr,Arrest,11,9,2020
20-10907,2357,9/11/20,Public Intoxication,E Main St,Administrative Sanction,11,9,2020
20-10911,0011,9/12/20,Public Intoxication,Veterans Dr,Administrative Sanction,12,9,2020
20-10962,2110,9/12/20,Underage Consumption,James Smith Hall,Administrative Sanction,12,9,2020
20-10972,2341,9/11/20,Public Intoxication,N College Ave,Administrative Sanction,11,9,2020
20-10981,0049,9/13/20,DUI,N Chapel St/Cleveland Ave,Arrest,13,9,2020
20-10988,0242,9/13/20,Public Intoxication,Easton Apartment Complex,Administrative Sanction,13,9,2020
20-11062,1630,9/9/20,Damaged Property,Independence Turf,Pending,9,9,2020
20-11107,0746,9/16/20,Trespass,Central Green Construction Site,Pending,16,9,2020
20-11113,0859,9/16/20,Theft,Harrington Commons,Pending,16,9,2020
20-011122,1222,9/16/20,Damaged Property,Harrington Commons,Pending,16,9,2020
20-011133,1934,9/16/20,Offensive Touching,George Read Hall,Arrest,16,9,2020
20-11153,0129,9/17/20,DUI,W Main St/S Main St,Arrest,17,9,2020
20-11189,2042,9/17/20,Possession of Marijuana,Independence Hall,Administrative Sanction,17,9,2020
20-11195,2241,9/17/20,Public Intoxication,E Main St,Administrative Sanction,17,9,2020
20-11199,2325,9/17/20,Public Intoxication,E Main St,Administrative Sanction,17,9,2020
20-11203,0042,9/18/20,Public Intoxication,Choate St,Administrative Sanction,18,9,2020
20-11205,0123,9/18/20,Public Intoxication,Choate St,Administrative Sanction,18,9,2020
20-11261,2329,9/18/20,Public Intoxication,East Cleveland Ave,Administrative Sanction,18,9,2020
20-11307,2320,9/19/20,Public Intoxication,E Cleveland Ave,Administrative Sanction,19,9,2020
20-11382,0141,9/22/20,Theft,Harrington Commons,Administrative Sanction,22,9,2020
20-11503,2017,9/24/20,Theft,George Read Hall,Pending,24,9,2020
20-11512,0041,9/25/20,Public Intoxication,Center St,Administrataive Sanction,25,9,2020
20-11525,0834,9/25/20,Graffiti,Hullihen Hall,Pending,25,9,2020
20-11564,2159,9/25/20,Public Intoxication,Manuel St,Administrative Sanction,25,9,2020
20-11572,2322,9/25/20,Unruly Gathering/Unlawful Large Gathering,Choate St,Administrative Sanction,25,9,2020
20-11573,2354,9/25/20,Possession of Marijuana,Independence Hall,Administrative Sanction,25,9,2020
20-11577,0141,9/26/20,Receiving Stolen Property,Newark Police Dept,Administrative Sanction,26,9,2020
20-11589,1023,9/26/20,Damaged Property,Lot #34C,Pending,26,9,2020
20-11626,2307,9/26/20,Unruly Gathering/Unlawful Large Gathering,Courtney St,Administrative Sanction,26,9,2020
20-11715,1333,9/26/20,Theft,University Courtyard Apartments,Pending,26,9,2020
20-11727,2108,9/28/20,Disorderly Conduct,George Read Hall,Pending,28,9,2020
20-11743,0850,9/10/20,Harassment,UDPD,Administrative Sanction,10,9,2020
20-11770,0014,9/30/20,Harassment,UDPD,Pending,30,9,2020
20-11788,1126,9/9/20,Damaged Property,Harker ISE Lab,Pending,9,9,2020
20-11852,1137,2/4/20,Graffiti,Hugh Morris Library,Pending,4,2,2020
20-11952,1609,9/20/20,Theft,Lot #6,Pending,20,9,2020
20-11971,2259,10/3/20,Public Intoxication,E Delaware Ave,Administrative Sanction,3,10,2020
20-12062,1123,10/6/20,Damaged Property,CFA Parking Garage,Pending,6,10,2020
20-12065,1333,10/5/20,Trespass,Presidents House,Pending,5,10,2020
20-12093,0051,10/7/20,Public Intoxication,Woolen Way,Administrative Sanction,7,10,2020
